Name,Stars,City,Country,Cuisine,Chef,Price,Website,Michelin Guide page,Address
Maison Aribert,2 Stars,Uriage-les-Bains,France,"Creative, Modern Cuisine",,€€€€,https://www.maisonaribert.com,https://guide.michelin.com/en/auvergne-rhone-alpes/uriage-les-bains/restaurant/maison-aribert,"280 allée du Jeune-Bayard, Uriage-les-Bains, 38410, France"
La Table de Yoann Conte,2 Stars,Veyrier-du-Lac,France,Creative,,€€€€,https://yoann-conte.com,https://guide.michelin.com/en/auvergne-rhone-alpes/veyrier-du-lac/restaurant/la-table-de-yoann-conte,"13 vieille route des Pensières, Veyrier-du-Lac, 74290, France"
La Pyramide - Maison Henriroux,2 Stars,Vienne,France,Modern Cuisine,,€€€€,https://www.lapyramide.com/,https://guide.michelin.com/en/auvergne-rhone-alpes/vienne/restaurant/la-pyramide-maison-henriroux,"14 boulevard Fernand-Point, Vienne, 38200, France"
Le Corot,2 Stars,Ville-d'Avray,France,Creative,,€€€€,https://www.etangs-corot.com/,https://guide.michelin.com/en/ile-de-france/ville-d-avray/restaurant/le-corot,"Les Étangs de Corot, 55 rue de Versailles, Ville-d'Avray, 92410, France"
Georges Blanc,2 Stars,Vonnas,France,Classic Cuisine,,€€€€,https://www.georgesblanc.com,https://guide.michelin.com/en/auvergne-rhone-alpes/vonnas/restaurant/georges-blanc,"Place du Marché, Vonnas, 01540, France"
Villa René Lalique,2 Stars,Wingen-sur-Moder,France,"Creative, Modern Cuisine",Villa René Lalique,€€€€,https://villarenelalique.com,https://guide.michelin.com/en/grand-est/wingen-sur-moder/restaurant/villa-rene-lalique,"18 rue Bellevue, Wingen-sur-Moder, 67290, France"
La Chèvre d'Or,2 Stars,Èze,France,Creative,,€€€€,https://www.chevredor.fr/restaurant-gastronomique-chevre-dor/,https://guide.michelin.com/en/provence-alpes-cote-dazur/ze/restaurant/la-chevre-d-or,"Rue du Barri, Èze, 06360, France"
Chalet Flachaire,1 Star,Abondance,France,Modern Cuisine,,€€€,https://www.chaletflachaire.fr,https://guide.michelin.com/en/auvergne-rhone-alpes/abondance_1509103/restaurant/chalet-flachaire,"24 impasse du Cottage, Abondance, 74360, France"
Ithurria,1 Star,Ainhoa,France,Modern Cuisine,,€€€,https://www.ithurria.com/fr/restaurant,https://guide.michelin.com/en/nouvelle-aquitaine/ainhoa/restaurant/ithurria,"218 Karrika Nagusia, Ainhoa, 64250, France"
La Table de Pierre Reboul,1 Star,Aix-en-Provence,France,Creative,,€€€€,https://latabledepierrereboul.com,https://guide.michelin.com/en/provence-alpes-cote-dazur/aix-en-provence/restaurant/la-table-de-pierre-reboul,"Hôtel Renaissance, 320 avenue Wolfgang-Amadeus-Mozart, Aix-en-Provence, 13100, France"
Le Art,1 Star,Aix-en-Provence,France,Modern Cuisine,,€€€€,https://www.chateaudelagaude.com,https://guide.michelin.com/en/provence-alpes-cote-dazur/aix-en-provence/restaurant/le-art,"Château de la Gaude, 3959 route des Pinchinats, Aix-en-Provence, 13100, France"
Étude,1 Star,Aix-en-Provence,France,Modern Cuisine,,€€€€,https://www.etude-aix.fr/,https://guide.michelin.com/en/provence-alpes-cote-dazur/aix-en-provence/restaurant/etude-1207141,"24 rue de l'Aumône-Vieille, Aix-en-Provence, 13100, France"
Mandibule,1 Star,Alixan,France,Modern Cuisine,,€€€,https://www.mandibulerestaurant.com,https://guide.michelin.com/en/auvergne-rhone-alpes/alixan_1509150/restaurant/mandibule,"5 place de la Mairie, Alixan, 26300, France"
Le Haut-Allier,1 Star,Alleyras,France,Modern Cuisine,,€€€,https://www.hotel-lehautallier.com,https://guide.michelin.com/en/auvergne-rhone-alpes/alleyras/restaurant/le-haut-allier,"1 avenue de la Gare (Le Pont d'Alleyras), Alleyras, 43580, France"
Cueillette,1 Star,Altillac,France,Modern Cuisine,,€€€€,https://restaurant-cueillette.fr/,https://guide.michelin.com/en/nouvelle-aquitaine/altillac/restaurant/cueillette,"3 La Raufie, Altillac, 19120, France"
Château de Pray,1 Star,Amboise,France,Modern Cuisine,,€€€,https://www.chateaudepray.fr/,https://guide.michelin.com/en/centre-val-de-loire/amboise/restaurant/chateau-de-pray,"Rue du Cèdre, à Chargé, Amboise, 37530, France"
Restaurant Julien Binz,1 Star,Ammerschwihr,France,Modern Cuisine,,€€€€,https://www.restaurantjulienbinz.com,https://guide.michelin.com/en/grand-est/ammerschwihr/restaurant/julien-binz,"7 rue des Cigognes, Ammerschwihr, 68770, France"
Lait Thym Sel,1 Star,Angers,France,Creative,,€€€€,https://laitthymsel.com/,https://guide.michelin.com/en/pays-de-la-loire/angers/restaurant/lait-thym-sel,"17 rue Boisnet, Angers, 49100, France"
L'Esquisse,1 Star,Annecy,France,Modern Cuisine,,€€€€,https://www.esquisse-annecy.fr/,https://guide.michelin.com/en/auvergne-rhone-alpes/annecy/restaurant/l-esquisse,"21 rue Royale, Annecy, 74000, France"
La Rotonde des Trésoms,1 Star,Annecy,France,Modern Cuisine,,€€€€,https://www.lestresoms.com/,https://guide.michelin.com/en/auvergne-rhone-alpes/annecy/restaurant/la-rotonde-des-tresoms,"Les Trésoms, 15 boulevard de la Corniche, Annecy, 74000, France"
Garrigue,1 Star,Ansouis,France,"Modern Cuisine, Creative",,€€€,https://www.garrigue-restaurant.fr,https://guide.michelin.com/en/provence-alpes-cote-dazur/ansouis/restaurant/garrigue,"69 boulevard des Platanes, Ansouis, 84240, France"
Les Pêcheurs,1 Star,Antibes,France,Mediterranean Cuisine,,€€€€,https://www.ca-beachhotel.com/,https://guide.michelin.com/en/provence-alpes-cote-dazur/antibes/restaurant/les-pecheurs,"10 boulevard du Maréchal-Juin, au Cap d'Antibes, Antibes, 06160, France"
Louroc - Hôtel du Cap-Eden-Roc,1 Star,Antibes,France,Mediterranean Cuisine,,€€€€,https://www.oetkerhotels.com/hotels/hotel-du-cap-eden-roc/,https://guide.michelin.com/en/provence-alpes-cote-dazur/antibes/restaurant/louroc,"Boulevard J.-F.-Kennedy, au Cap d'Antibes, Antibes, 06160, France"
Le Patio,1 Star,Arcachon,France,Modern Cuisine,,€€€,https://www.lepatio-thierryrenou.com/,https://guide.michelin.com/en/nouvelle-aquitaine/arcachon/restaurant/le-patio396,"10 boulevard de la Plage, Arcachon, 33120, France"
Moulin d'Alotz,1 Star,Arcangues,France,"Vegetarian, Creative",,€€€€,https://www.moulindalotz.com,https://guide.michelin.com/en/nouvelle-aquitaine/arcangues/restaurant/moulin-d-alotz,"1018 chemin Alotz-Errota, Arcangues, 64200, France"
La Table de Christophe Hay et Loïs Bée,1 Star,Ardon,France,"Modern Cuisine, Creative",,€€€€,https://www.latabledacote.fr/,https://guide.michelin.com/en/centre-val-de-loire/ardon/restaurant/la-table-christophe-hay-et-lois-bee,"200 allée des Quatre-Vents, au golf de Limère, Ardon, 45160, France"
La Renaissance,1 Star,Argentan,France,Modern Cuisine,,€€€,https://www.arnaudviel.com,https://guide.michelin.com/en/normandie/argentan/restaurant/la-renaissance433,"20 avenue de la 2ème-Division-Blindée, Argentan, 61200, France"
